INDICATOR,Date,Value
Prime Lending Rate Of Commercial Banks,2023-09-01,14.32
Savings Rate,2023-10-01,5.26
Prime Lending Rate Of Commercial Banks,2023-10-01,14.39
Savings Rate,2023-11-01,5.26
Prime Lending Rate Of Commercial Banks,2023-11-01,14.05
Savings Rate,2023-12-01,5.28
Prime Lending Rate Of Commercial Banks,2023-12-01,14.17
Savings Rate,2024-01-01,5.28
Prime Lending Rate Of Commercial Banks,2024-01-01,13.82
Savings Rate,2024-02-01,5.86
Prime Lending Rate Of Commercial Banks,2024-02-01,15.06
Savings Rate,2024-03-01,6.28
